EmpID | StartDate | ExitDate | Title | BusinessUnit | EmployeeStatus | PayZone | EmployeeClassificationType | TerminationType | Division | State | JobFunctionDescription | Performance Score | Current Employee Rating | LastName | DOB | 
3450 | 01-Sep-20 | 04-Dec-22 | Area Sales Manager | MSC | Active | Zone C | Temporary | Resignation | Field Operations | CO | Operator | Exceeds | 2 | Moyer | 1994 | 
3451 | 18-Feb-21 | 11-Nov-22 | Area Sales Manager | TNS | Active | Zone C | Full-Time | Voluntary | General - Con | CO | Technician | Exceeds | 3 | French | 1968 | 
3452 | 08-Nov-22 |  | Area Sales Manager | PYZ | Active | Zone A | Part-Time | Unk | General - Con | IN | Foreman | Fully Meets | 2 | Blackburn | 1947 | 
3453 | 13-Oct-22 |  | Area Sales Manager | WBL | Active | Zone C | Part-Time | Unk | Fielders | MA | Engineer | Fully Meets | 4 | Carter | 1982 | 
3454 | 11-Sep-22 |  | Area Sales Manager | PYZ | Active | Zone C | Full-Time | Unk | General - Con | KY | Foreman | Needs Improvement | 4 | Beard | 1970 | 
3455 | 29-Jun-21 | 05-Jul-22 | Area Sales Manager | WBL | Active | Zone C | Temporary | Resignation | Project Management - Eng | KY | Manager | Exceeds | 4 | Miranda | 1999 | 
3456 | 06-Mar-23 |  | Area Sales Manager | NEL | Active | Zone A | Temporary | Unk | Field Operations | KY | Technician | Fully Meets | 3 | Howe | 1946 | 
3457 | 25-Sep-20 |  | Area Sales Manager | PL | Active | Zone B | Temporary | Unk | Engineers | KY | Technician | Needs Improvement | 3 | Wall | 1947 | 
3458 | 28-Apr-22 | 24-May-23 | Area Sales Manager | BPC | Future Start | Zone A | Full-Time | Voluntary | Field Operations | TX | Laborer | Needs Improvement | 3 | Robinson | 1996 | 
3459 | 18-Apr-21 | 21-Jun-22 | Area Sales Manager | CCDR | Future Start | Zone A | Full-Time | Retirement | General - Con | TX | Splicer | Exceeds | 2 | Yu | 1944 | 
3460 | 19-Feb-20 |  | Area Sales Manager | SVG | Active | Zone A | Full-Time | Unk | Aerial | TX | Lineman | Fully Meets | 3 | James | 1944 | 
3461 | 18-Jul-19 | 01-Oct-21 | Area Sales Manager | EW | Future Start | Zone C | Part-Time | Resignation | General - Con | CO | Foreman | Needs Improvement | 1 | Compton | 1997 | 
3462 | 13-Sep-18 | 17-Sep-21 | Area Sales Manager | MSC | Active | Zone A | Full-Time | Involuntary | Field Operations | CO | Coordinator | Needs Improvement | 3 | Nolan | 1942 | 
3463 | 30-Apr-20 | 18-Jul-21 | Area Sales Manager | TNS | Active | Zone A | Temporary | Retirement | Field Operations | IN | Tower Hand | Fully Meets | 1 | Dodson | 1951 | 
3464 | 03-Dec-18 | 09-Sep-22 | Area Sales Manager | PYZ | Active | Zone B | Full-Time | Involuntary | Shop (Fleet) | MA | Mechanic | Needs Improvement | 5 | Duke | 1998 | 
3465 | 08-Nov-21 |  | Area Sales Manager | WBL | Active | Zone B | Full-Time | Unk | General - Con | MA | Flagger | Needs Improvement | 3 | Stuart | 1962 | 
3466 | 13-Apr-22 | 10-Apr-23 | Area Sales Manager | PYZ | Active | Zone C | Full-Time | Retirement | Aerial | KY | Supervisor | Exceeds | 4 | Walker | 1979 | 
3467 | 06-May-20 |  | Area Sales Manager | WBL | Active | Zone A | Part-Time | Unk | Fielders | KY | Engineer | Exceeds | 1 | Curtis | 1987 | 
3468 | 09-Sep-19 |  | Area Sales Manager | NEL | Active | Zone B | Temporary | Unk | Wireline Construction | KY | Foreman | Fully Meets | 4 | Reilly | 1998 | 
3469 | 29-Jul-20 | 05-Jan-23 | Area Sales Manager | PL | Future Start | Zone B | Full-Time | Resignation | Field Operations | TX | Driver | Needs Improvement | 3 | Shepherd | 1945 | 
3470 | 14-Nov-18 | 28-Oct-19 | Area Sales Manager | BPC | Future Start | Zone C | Part-Time | Retirement | Field Operations | TX | Technician | Needs Improvement | 3 | Gilbert | 1997 | 
3471 | 29-Feb-20 |  | Area Sales Manager | CCDR | Active | Zone C | Temporary | Unk | Field Operations | TX | Foreman | Fully Meets | 4 | Adkins | 1967 | 
3472 | 15-Jan-23 |  | Area Sales Manager | SVG | Active | Zone C | Full-Time | Unk | Project Management - Con | TX | Director | Exceeds | 4 | Soto | 1982 | 
3473 | 29-Jun-23 |  | Area Sales Manager | EW | Active | Zone A | Temporary | Unk | Shop (Fleet) | CO | Manager | Exceeds | 2 | Mata | 1950 | 
3474 | 09-Mar-20 |  | Area Sales Manager | MSC | Active | Zone A | Temporary | Unk | Catv | CO | Laborer | Fully Meets | 2 | Patton | 1965 | 
3475 | 21-Sep-21 | 13-Apr-23 | Area Sales Manager | TNS | Active | Zone C | Temporary | Resignation | General - Con | IN | Foreman | Fully Meets | 2 | Trujillo | 1957 | 
3476 | 12-Jun-23 | 06-Jul-23 | Area Sales Manager | PYZ | Active | Zone A | Temporary | Voluntary | Fielders | MA | Engineer | Needs Improvement | 2 | Koch | 1945 | 
3477 | 07-Apr-19 |  | Area Sales Manager | PYZ | Active | Zone A | Full-Time | Unk | Aerial | KY | Laborer | Needs Improvement | 2 | Horne | 1969 | 
3478 | 17-Sep-18 | 09-Jan-19 | Area Sales Manager | WBL | Active | Zone C | Temporary | Resignation | Wireline Construction | KY | Groundman | Fully Meets | 2 | Chandler | 1957 | 
3479 | 02-Aug-22 | 02-Apr-23 | Area Sales Manager | NEL | Active | Zone A | Part-Time | Involuntary | Project Management - Con | TX | Technician | Fully Meets | 2 | Stone | 1962 | 
3480 | 08-Sep-22 | 16-Oct-22 | Area Sales Manager | PL | Future Start | Zone C | Temporary | Retirement | Catv | TX | Supervisor | Fully Meets | 1 | Harmon | 1946 | 
3481 | 07-Mar-19 | 31-May-21 | Area Sales Manager | BPC | Future Start | Zone C | Part-Time | Voluntary | Wireline Construction | TX | Splicer | Fully Meets | 4 | Allen | 1965 | 
3482 | 29-Oct-19 | 07-Feb-21 | Area Sales Manager | CCDR | Future Start | Zone A | Temporary | Resignation | Catv | TX | Lineman | Needs Improvement | 2 | Bolton | 1990 | 
3483 | 26-Sep-21 |  | Area Sales Manager | SVG | Active | Zone B | Temporary | Unk | Project Management - Con | CO | Coordinator | Fully Meets | 1 | Harding | 1964 | 
3484 | 29-Aug-18 |  | Area Sales Manager | EW | Active | Zone B | Full-Time | Unk | General - Con | CO | Model Assistant | Fully Meets | 4 | Gonzalez | 1995 | 
3485 | 26-Oct-21 |  | Area Sales Manager | MSC | Active | Zone C | Full-Time | Unk | Field Operations | CO | Laborer | Fully Meets | 5 | Johnson | 1994 | 
3486 | 31-Oct-22 | 08-Jun-23 | Area Sales Manager | TNS | Active | Zone C | Temporary | Involuntary | Fielders | IN | Engineer | Fully Meets | 4 | Mcconnell | 1990 | 
3487 | 15-Mar-23 |  | Area Sales Manager | BPC | Active | Zone B | Part-Time | Unk | General - Sga | KY | Administrator | Fully Meets | 4 | Parsons | 1994 | 
3488 | 09-Sep-22 |  | Area Sales Manager | CCDR | Active | Zone B | Full-Time | Unk | Wireline Construction | KY | Lineman | Fully Meets | 2 | Patterson | 1997 | 
3489 | 04-Mar-22 |  | Area Sales Manager | EW | Active | Zone A | Temporary | Unk | Field Operations | TX | Laborer | Fully Meets | 2 | Powers | 1953 | 
3490 | 11-Feb-19 |  | Area Sales Manager | MSC | Active | Zone A | Part-Time | Unk | General - Sga | TX | Director | Fully Meets | 2 | Preston | 1991 | 
3491 | 26-Jan-21 |  | Area Sales Manager | NEL | Active | Zone B | Full-Time | Unk | Field Operations | TX | Driver | Fully Meets | 5 | Buchanan | 1973 | 
3492 | 26-Nov-19 |  | Area Sales Manager | PL | Active | Zone C | Full-Time | Unk | General - Con | CO | Clerk | Fully Meets | 1 | Merritt | 1993 | 
3493 | 15-Jul-19 |  | Area Sales Manager | PYZ | Active | Zone C | Full-Time | Unk | Project Management - Con | CO | Project Manager | Fully Meets | 5 | Clay | 1984 | 
3494 | 18-Jun-20 |  | Area Sales Manager | SVG | Active | Zone B | Full-Time | Unk | General - Con | CO | Technician | Fully Meets | 4 | Raymond | 1994 | 
3495 | 22-Jun-23 | 22-Jul-23 | Area Sales Manager | TNS | Active | Zone B | Temporary | Retirement | Wireline Construction | IN | Laborer | Fully Meets | 4 | Ellis | 1993 | 
3496 | 02-Dec-21 |  | Area Sales Manager | WBL | Active | Zone A | Part-Time | Unk | General - Sga | CA | Administrator | Fully Meets | 5 | Bentley | 1964 | 
3497 | 08-Dec-21 |  | Area Sales Manager | TNS | Active | Zone C | Temporary | Unk | Project Management - Con | OR | Lineman | Fully Meets | 1 | Rodriguez | 1981 | 
3498 | 26-Apr-23 | 22-Jun-23 | Area Sales Manager | PYZ | Active | Zone A | Full-Time | Voluntary | General - Sga | KY | Laborer | Fully Meets | 2 | Mcmillan | 1998 | 
3499 | 25-Sep-18 | 20-Dec-21 | Area Sales Manager | WBL | Active | Zone C | Temporary | Involuntary | Field Operations | KY | Technician | Fully Meets | 5 | Frost | 1971 | 
3500 | 20-Nov-18 | 21-Jun-20 | Area Sales Manager | NEL | Active | Zone B | Part-Time | Voluntary | Shop (Fleet) | TX | Mechanic | Fully Meets | 1 | Lucas | 2000 | 
3501 | 30-Aug-20 | 30-Aug-22 | Area Sales Manager | PL | Future Start | Zone A | Part-Time | Retirement | General - Con | TX | Technician | Fully Meets | 4 | Zimmerman | 1959 | 
3502 | 01-Oct-19 |  | Area Sales Manager | BPC | Active | Zone C | Temporary | Unk | Splicing | TX | Electrician | Fully Meets | 1 | Marks | 1976 | 
3503 | 20-Jan-22 |  | Area Sales Manager | CCDR | Active | Zone A | Temporary | Unk | Project Management - Con | CO | Manager | Fully Meets | 4 | Pugh | 1951 | 
3504 | 10-Oct-21 |  | Area Sales Manager | SVG | Active | Zone B | Part-Time | Unk | General - Con | CO | Laborer | Fully Meets | 2 | Kelley | 1980 | 
3505 | 29-Aug-20 |  | Area Sales Manager | EW | Active | Zone B | Temporary | Unk | Field Operations | IN | Groundman | Fully Meets | 1 | Hicks | 1943 | 
3506 | 27-Aug-19 | 10-May-23 | Area Sales Manager | MSC | Active | Zone B | Temporary | Voluntary | Field Operations | IN | Technician | Fully Meets | 2 | Woodard | 1988 | 
3507 | 25-Feb-21 | 07-Apr-23 | Area Sales Manager | TNS | Active | Zone A | Full-Time | Retirement | Project Management - Con | CA | Manager | Fully Meets | 4 | Huff | 1973 | 
3508 | 13-Jul-21 |  | Area Sales Manager | CCDR | Active | Zone B | Part-Time | Unk | Aerial | OR | Laborer | Fully Meets | 5 | Harding | 1942 | 
3509 | 14-Apr-21 |  | Area Sales Manager | BPC | Active | Zone C | Full-Time | Unk | General - Sga | KY | Project Controls | Fully Meets | 2 | Boyer | 1977 | 
3510 | 10-Feb-20 |  | Area Sales Manager | PYZ | Active | Zone A | Full-Time | Unk | General - Con | KY | Laborer | Fully Meets | 2 | Koch | 1956 | 
3511 | 17-Aug-21 | 31-Dec-21 | Area Sales Manager | WBL | Active | Zone B | Full-Time | Resignation | Finance & Accounting | KY | Director | Fully Meets | 4 | Barker | 1997 | 
3512 | 17-Apr-23 | 22-Jun-23 | Area Sales Manager | NEL | Future Start | Zone C | Temporary | Voluntary | Yard (Material Handling) | TX | Coordinator | Fully Meets | 2 | Sosa | 1996 | 
3513 | 02-Sep-22 | 24-May-23 | Area Sales Manager | PL | Future Start | Zone C | Temporary | Involuntary | General - Con | TX | Laborer | Fully Meets | 5 | Cisneros | 1959 | 
3514 | 15-Apr-20 |  | Area Sales Manager | BPC | Active | Zone B | Part-Time | Unk | Wireline Construction | TX | Manager | Fully Meets | 1 | Estes | 1958 | 
3515 | 09-Mar-22 | 10-Dec-22 | Area Sales Manager | CCDR | Future Start | Zone A | Part-Time | Retirement | Finance & Accounting | CO | Controller | Fully Meets | 4 | Flowers | 1997 | 
3516 | 07-Apr-22 | 22-Jan-23 | Area Sales Manager | SVG | Active | Zone B | Part-Time | Retirement | Project Management - Con | CO | Coordinator | Fully Meets | 5 | Love | 1988 | 
3517 | 19-Feb-20 |  | Area Sales Manager | EW | Active | Zone A | Part-Time | Unk | Splicing | IN | Splicer | Fully Meets | 4 | Francis | 1942 | 
3518 | 10-Apr-21 | 04-Jul-22 | Area Sales Manager | MSC | Active | Zone B | Part-Time | Involuntary | General - Eng | CA | Coordinator | Fully Meets | 2 | Michael | 1969 | 
3519 | 19-Dec-21 | 02-Mar-22 | Area Sales Manager | TNS | Active | Zone C | Temporary | Resignation | Aerial | CA | Groundman | Fully Meets | 2 | Ewing | 1951 | 
3520 | 13-Dec-20 | 13-Jan-23 | Area Sales Manager | TNS | Active | Zone C | Temporary | Involuntary | Project Management - Con | ND | Manager | Fully Meets | 1 | Munoz | 1963 | 
3521 | 26-Feb-19 |  | Area Sales Manager | WBL | Active | Zone C | Part-Time | Unk | General - Con | KY | Electrician | Fully Meets | 4 | Bradford | 1949 | 
3522 | 02-Mar-20 |  | Area Sales Manager | BPC | Active | Zone C | Part-Time | Unk | Splicing | KY | Splicer | Fully Meets | 1 | Armstrong | 1983 | 
3523 | 25-Jun-21 | 25-Aug-22 | Area Sales Manager | CCDR | Active | Zone A | Temporary | Resignation | General - Con | KY | Laborer | Fully Meets | 2 | Chapman | 1978 | 
3524 | 26-Jul-21 | 04-May-22 | Area Sales Manager | EW | Future Start | Zone B | Full-Time | Resignation | Field Operations | TX | Laborer | Fully Meets | 2 | Franklin | 1999 | 
3525 | 03-Jul-22 | 10-Jan-23 | Area Sales Manager | MSC | Future Start | Zone B | Temporary | Retirement | General - Con | TX | Foreman | Fully Meets | 2 | Mccormick | 1967 | 
3526 | 15-Sep-22 |  | Area Sales Manager | NEL | Active | Zone B | Full-Time | Unk | General - Con | TX | Foreman | Fully Meets | 4 | Krause | 1948 | 
3527 | 01-May-20 | 25-Feb-21 | Area Sales Manager | PL | Active | Zone B | Temporary | Retirement | Aerial | CO | Lineman | Fully Meets | 1 | Hawkins | 1974 | 
3528 | 13-Oct-22 |  | Area Sales Manager | PYZ | Active | Zone C | Part-Time | Unk | Finance & Accounting | CO | Accounting | Fully Meets | 2 | Benjamin | 1991 | 
3529 | 03-Jan-20 | 24-Aug-20 | Area Sales Manager | SVG | Active | Zone C | Full-Time | Voluntary | Field Operations | IN | Top Hand | Fully Meets | 2 | Mcdaniel | 1994 | 
3530 | 13-Nov-19 |  | Area Sales Manager | TNS | Active | Zone B | Part-Time | Unk | Field Operations | CA | Tower Hand | Fully Meets | 2 | Black | 1993 | 
3531 | 17-Jun-23 |  | Area Sales Manager | WBL | Active | Zone C | Full-Time | Unk | Project Management - Con | CA | Project Manager | Fully Meets | 1 | Mayer | 1943 | 
3532 | 14-Oct-21 |  | Area Sales Manager | EW | Active | Zone B | Full-Time | Unk | Wireless | OR | Technician | Fully Meets | 1 | Ford | 1966 | 
3533 | 01-Jun-21 | 16-Jul-23 | Area Sales Manager | MSC | Active | Zone B | Full-Time | Voluntary | General - Sga | ND | Administrator | Fully Meets | 2 | Griffith | 1966 | 
3534 | 14-Sep-18 |  | Area Sales Manager | TNS | Active | Zone A | Full-Time | Unk | Engineers | KY | Engineer | Fully Meets | 4 | Frye | 1959 | 
3535 | 11-Dec-18 | 02-Jun-22 | Area Sales Manager | PYZ | Active | Zone A | Temporary | Retirement | Fielders | KY | Engineer | Fully Meets | 4 | Rowe | 1994 | 
3536 | 06-Aug-22 |  | Area Sales Manager | WBL | Active | Zone C | Temporary | Unk | General - Sga | GA | Administrative | Fully Meets | 2 | Berg | 1989 | 
3537 | 28-May-22 | 24-Feb-23 | Area Sales Manager | NEL | Future Start | Zone C | Part-Time | Retirement | Field Operations | TX | Foreman | Fully Meets | 2 | Rowe | 1954 | 
3538 | 16-Jun-19 | 05-Mar-22 | Area Sales Manager | PL | Future Start | Zone C | Part-Time | Resignation | Fielders | TX | Engineer | Fully Meets | 2 | Baxter | 1959 | 
3539 | 08-Dec-19 |  | Area Sales Manager | BPC | Active | Zone C | Temporary | Unk | General - Con | CO | Foreman | Fully Meets | 5 | Bruce | 1983 | 
3540 | 12-Mar-20 | 09-Oct-22 | Area Sales Manager | CCDR | Active | Zone B | Part-Time | Retirement | Splicing | CO | Supervisor | Exceeds | 4 | Mccann | 1983 | 
3541 | 06-Apr-20 | 24-Jul-23 | Area Sales Manager | SVG | Active | Zone B | Full-Time | Involuntary | Field Operations | IN | Technician | Exceeds | 2 | Weber | 1991 | 
3542 | 15-Apr-23 |  | Area Sales Manager | EW | Active | Zone A | Temporary | Unk | Field Operations | IN | Manager | Needs Improvement | 1 | Gill | 1948 | 
3543 | 10-Nov-20 |  | Area Sales Manager | MSC | Active | Zone A | Temporary | Unk | General - Con | CA | Laborer | Fully Meets | 2 | Kerr | 1981 | 
3544 | 29-Jun-23 | 09-Jul-23 | Area Sales Manager | TNS | Active | Zone A | Temporary | Retirement | Aerial | CA | Foreman | Fully Meets | 2 | Mcbride | 2000 | 
3545 | 07-Mar-22 |  | Area Sales Manager | EW | Active | Zone C | Temporary | Unk | Field Operations | OR | Locator | Fully Meets | 1 | Rubio | 1943 | 
3546 | 31-Jul-21 | 27-Jan-23 | Area Sales Manager | CCDR | Active | Zone B | Part-Time | Voluntary | General - Con | ND | Foreman | Exceeds | 1 | Carr | 1980 | 
3547 | 20-Jan-22 |  | Area Sales Manager | BPC | Active | Zone B | Full-Time | Unk | Project Management - Eng | KY | Supervisor | Needs Improvement | 2 | Wiggins | 1947 | 
3548 | 11-Jul-21 | 10-Oct-22 | Area Sales Manager | WBL | Active | Zone A | Full-Time | Resignation | General - Con | KY | Technician | Fully Meets | 1 | Glass | 1964 | 
3549 | 15-Oct-18 | 18-Oct-20 | Area Sales Manager | TNS | Active | Zone C | Full-Time | Retirement | Field Operations | GA | Technician | Fully Meets | 2 | Lynch | 1955 | 
3550 | 26-Nov-21 | 14-Oct-22 | Area Sales Manager | SVG | Future Start | Zone C | Temporary | Resignation | Wireline Construction | TX | Billing | Fully Meets | 1 | Atkinson | 1988 | 
3551 | 11-Aug-18 |  | Area Sales Manager | PYZ | Active | Zone C | Part-Time | Unk | Engineers | TX | Engineer | Needs Improvement | 4 | Roach | 1954 | 
3552 | 16-Feb-20 | 03-Jun-20 | Area Sales Manager | PL | Active | Zone B | Full-Time | Retirement | Field Operations | CO | Foreman | Needs Improvement | 1 | Ramos | 1942 | 
3553 | 20-Jan-20 |  | Area Sales Manager | NEL | Active | Zone C | Temporary | Unk | Field Operations | CO | Foreman | Fully Meets | 4 | Mendez | 1949 | 
3554 | 31-Mar-19 |  | Area Sales Manager | MSC | Active | Zone C | Temporary | Unk | People Services | IN | Cpo | Fully Meets | 1 | Holland | 1958 | 
3555 | 06-Jan-23 | 07-May-23 | Area Sales Manager | EW | Active | Zone C | Temporary | Resignation | General - Eng | IN | Drafter | Fully Meets | 4 | Randall | 1988 | 
3556 | 18-Jul-19 | 15-Jan-20 | Area Sales Manager | CCDR | Active | Zone B | Temporary | Retirement | Wireline Construction | CA | Vp | Exceeds | 2 | Howe | 1961 | 
3557 | 13-Feb-19 |  | Area Sales Manager | BPC | Active | Zone C | Temporary | Unk | Field Operations | MA | Operator | Fully Meets | 2 | Obrien | 1960 | 
3558 | 30-Dec-18 |  | Production Technician I | MSC | Active | Zone A | Part-Time | Unk | Yard (Material Handling) | MA | Manager | Fully Meets | 1 | Gentry | 1959 | 
3559 | 06-Nov-19 | 06-Sep-20 | Production Technician I | NEL | Active | Zone C | Full-Time | Retirement | Field Operations | MA | Assistant | Fully Meets | 2 | Adinolfi | 1991 | 
3560 | 01-Jun-22 |  | Production Technician I | MSC | Active | Zone C | Full-Time | Unk | Field Operations | MA | Technician | Exceeds | 4 | Handschiegl | 1954 | 
3561 | 28-Mar-23 |  | Production Technician II | BPC | Active | Zone C | Temporary | Unk | General - Con | MA | Technician | Fully Meets | 5 | Blount | 1959 | 
3562 | 21-May-19 | 05-Jan-23 | Production Technician I | CCDR | Future Start | Zone B | Full-Time | Retirement | Shop (Fleet) | MA | Manager | Exceeds | 2 | Crimmings | 1954 | 
3563 | 01-Jan-19 |  | Production Technician I | WBL | Active | Zone B | Full-Time | Unk | Field Operations | MA | Driver | PIP | 4 | Sadki | 1946 | 
3564 | 26-Jan-19 | 02-Dec-20 | Production Technician II | SVG | Voluntarily Terminated | Zone C | Temporary | Resignation | Aerial | MA | Lineman | Fully Meets | 1 | Lundy | 1994 | 
3565 | 11-Sep-21 |  | Production Technician I | WBL | Active | Zone B | Full-Time | Unk | General - Con | MA | Lineman | Fully Meets | 4 | Keatts | 1968 | 
3566 | 26-Sep-21 |  | Production Technician II | PL | Active | Zone A | Part-Time | Unk | Aerial | MA | Lineman | Fully Meets | 2 | Moumanil | 1963 | 
3567 | 04-Mar-23 |  | Production Technician I | EW | Active | Zone C | Full-Time | Unk | General - Sga | MA | Technician | Fully Meets | 4 | Barton | 1966 | 
3568 | 11-Jul-23 | 29-Jul-23 | Production Technician I | EW | Voluntarily Terminated | Zone B | Part-Time | Involuntary | Field Operations | MA | Foreman | Fully Meets | 2 | Rarrick | 1974 | 
3569 | 09-Feb-19 | 28-Aug-20 | Production Technician I | MSC | Active | Zone B | Temporary | Involuntary | Catv | MA | Supervisor | Fully Meets | 2 | Chace | 1995 | 
3570 | 19-Apr-19 | 26-Oct-21 | Production Technician II | TNS | Voluntarily Terminated | Zone B | Temporary | Voluntary | Fielders | MA | Engineer | Fully Meets | 1 | Homberger | 1974 | 
3571 | 07-Jul-22 | 17-Jul-23 | Production Technician I | NEL | Voluntarily Terminated | Zone C | Full-Time | Resignation | Field Operations | MA | Engineer | Fully Meets | 4 | Linares | 1947 | 
3572 | 12-Mar-19 | 19-May-20 | Production Technician I | WBL | Active | Zone A | Part-Time | Retirement | Fielders | MA | Engineer | Fully Meets | 5 | Sullivan | 1994 | 
3573 | 09-Mar-20 | 17-Oct-21 | Production Technician I | NEL | Active | Zone B | Full-Time | Involuntary | Field Operations | MA | Driller | Exceeds | 4 | Medeiros | 1983 | 
3574 | 18-May-21 | 04-Jan-22 | Production Technician I | WBL | Future Start | Zone B | Full-Time | Involuntary | Underground | MA | Laborer | Fully Meets | 1 | Von Massenbach | 1951 | 
3575 | 28-Apr-21 | 18-Jan-22 | Production Technician I | MSC | Voluntarily Terminated | Zone A | Temporary | Resignation | Field Operations | MA | Groundman | Exceeds | 5 | Johnson | 1987 | 
3576 | 21-Jul-21 | 26-Apr-23 | Production Technician II | PL | Active | Zone B | Full-Time | Voluntary | Engineers | MA | Project Manager | Exceeds | 4 | Erilus | 1992 | 
3577 | 15-Sep-19 |  | Production Technician I | BPC | Active | Zone C | Temporary | Unk | Field Operations | MA | Tower Hand | Fully Meets | 4 | Estremera | 1957 | 
3578 | 04-May-19 |  | Production Technician I | WBL | Active | Zone A | Temporary | Unk | Field Operations | MA | Technician | Exceeds | 2 | Owad | 1957 | 
3579 | 20-May-21 |  | Production Technician II | BPC | Active | Zone C | Part-Time | Unk | Field Operations | MA | Laborer | Needs Improvement | 4 | Sloan | 1946 | 
3580 | 16-Dec-19 |  | Production Technician I | PYZ | Active | Zone C | Full-Time | Unk | Field Operations | MA | Foreman | Fully Meets | 4 | Sanchez | 1942 | 
3581 | 20-Nov-20 | 01-May-23 | Production Technician I | SVG | Active | Zone A | Part-Time | Voluntary | Wireline Construction | MA | Foreman | Fully Meets | 2 | Strickland | 1943 | 
3582 | 19-Aug-20 | 04-May-22 | Production Technician I | TNS | Active | Zone B | Part-Time | Retirement | Yard (Material Handling) | MA | Laborer | Fully Meets | 4 | Drake | 1968 | 
