FirstName,LastName,EmployeeClassificationType,DOB,JobFunctionDescription,State,GenderCode,LocationCode,RaceDesc,MaritalDesc
Dianna,Blount,Temporary,31-01-1959,Technician,MA,Female,2171,White,Married
Jean,Crimmings,Full-Time,09-04-1954,Manager,MA,Female,1821,Other,Single
Nore,Sadki,Full-Time,15-10-1946,Driver,MA,Male,2148,Black,Widowed
Susan,Lundy,Temporary,07-11-1994,Lineman,MA,Female,2122,White,Divorced
Kramer,Keatts,Full-Time,10-05-1968,Lineman,MA,Male,1887,Other,Divorced
Maliki,Moumanil,Part-Time,05-10-1963,Lineman,MA,Male,1460,Black,Single
Nader,Barton,Full-Time,02-09-1966,Technician,MA,Male,2747,Asian,Widowed
Quinn,Rarrick,Part-Time,08-12-1974,Foreman,MA,Male,2478,Asian,Divorced
Beatrice,Chace,Temporary,19-07-1995,Supervisor,MA,Female,2763,Hispanic,Divorced
Adrienne J,Homberger,Temporary,23-11-1974,Engineer,MA,Female,2445,Asian,Married
Marilyn,Linares,Full-Time,29-08-1947,Engineer,MA,Female,1886,White,Widowed
Timothy,Sullivan,Part-Time,07-06-1994,Engineer,MA,Male,2747,White,Single
Jennifer,Medeiros,Full-Time,26-10-1983,Driller,MA,Female,2346,Asian,Divorced
Anna,Von Massenbach,Full-Time,06-05-1951,Laborer,MA,Female,2124,Hispanic,Widowed
George,Johnson,Temporary,05-03-1987,Groundman,MA,Male,2445,Hispanic,Single
Angela,Erilus,Full-Time,26-04-1992,Project Manager,MA,Female,2133,Asian,Single
Miguel,Estremera,Temporary,30-05-1957,Tower Hand,MA,Male,2129,White,Widowed
Clinton,Owad,Temporary,30-05-1957,Technician,MA,Male,1760,Hispanic,Married
Constance,Sloan,Part-Time,15-11-1946,Laborer,MA,Female,1851,Asian,Widowed
Davion,Sanchez,Full-Time,21-04-1942,Foreman,MA,Male,41016,Other,Married
Ross,Strickland,Part-Time,08-03-1943,Foreman,MA,Male,18389,Other,Divorced
Augustus,Drake,Part-Time,09-08-1968,Laborer,MA,Male,90676,Asian,Widowed
Gracelyn,Huynh,Temporary,20-11-1958,Construction Manager,MA,Female,16011,White,Married
Orlando,Armstrong,Full-Time,07-11-1987,Lineman,MA,Female,2051,Other,Married
Edward,Everett,Full-Time,16-07-1992,Laborer,MA,Female,3074,Black,Divorced
Jaqueline,Terrell,Full-Time,27-12-2000,Manager,MA,Female,24711,Hispanic,Single
Quinn,Mccullough,Temporary,25-12-1977,Administrative,MA,Male,74564,Other,Divorced
Selena,Greer,Full-Time,08-03-1972,Mechanic,MA,Male,14504,Black,Widowed
Giovani,Roy,Temporary,02-08-1951,Laborer,MA,Male,2683,White,Single
Dominik,Mullen,Full-Time,31-05-1995,Laborer,MA,Male,66167,Asian,Widowed
Abdullah,Ellison,Part-Time,14-11-1998,Supervisor,MA,Female,21634,White,Married
Andre,Guzman,Full-Time,23-12-1998,Technician,MA,Male,9454,Other,Single
Brayden,Malone,Full-Time,11-11-1949,Foreman,MA,Male,48453,Asian,Married
Maribel,Morrison,Part-Time,14-03-1968,Technician,MA,Male,72888,Black,Married
Fisher,Stafford,Temporary,02-03-1952,Technician,MA,Male,56703,Other,Divorced
Kellen,Medina,Full-Time,19-07-1982,Technician,MA,Male,33998,Other,Single
Brenton,Monroe,Part-Time,31-10-1986,Foreman,MA,Female,17650,Black,Single
Derick,Rocha,Full-Time,06-10-1950,Supervisor,MA,Female,72750,Other,Married
Elaine,Weeks,Temporary,31-03-1950,Technician,MA,Female,14044,White,Divorced
Marely,Dixon,Temporary,07-10-1949,Technician,MA,Female,34810,White,Single
Keagan,Henson,Full-Time,22-07-1966,Billing,MA,Female,75187,White,Married
Helena,Davenport,Part-Time,12-10-1994,Engineer,MA,Female,30766,Hispanic,Married
Houston,Aguirre,Part-Time,15-02-1977,Technician,MA,Female,58348,White,Married
Kane,Owen,Full-Time,09-03-1948,Foreman,MA,Female,44626,Hispanic,Divorced
Emerson,Pitts,Temporary,25-08-1943,Technician,MA,Male,2315,Other,Divorced
Clarissa,Winters,Full-Time,13-03-1965,Engineer,MA,Male,95618,Other,Divorced
Frankie,Atkins,Full-Time,03-08-1976,Coordinator,MA,Male,15195,Other,Married
Ally,Zhang,Part-Time,06-07-1979,Technician,MA,Male,74447,Other,Married
Kayleigh,Harmon,Full-Time,09-06-1993,Welder,MA,Female,21318,Other,Widowed
Kayley,Myers,Full-Time,07-04-1973,Laborer,MA,Female,51430,Other,Single
Rowan,Cobb,Full-Time,20-01-1952,Technician,MA,Female,85651,Hispanic,Married
Edward,Mann,Part-Time,25-12-1984,Technician,MA,Male,68900,Black,Single
Amirah,Johnson,Part-Time,14-06-1973,Laborer,MA,Male,9241,Asian,Married
Bridget,Deleon,Temporary,31-08-1973,Field Project Manager,MA,Male,23691,White,Married
Martin,Weber,Part-Time,14-05-1986,Manager,MA,Male,74388,Asian,Divorced
Ruben,Lewis,Full-Time,24-03-1981,Laborer,MA,Female,14234,Hispanic,Married
Bailey,Collier,Full-Time,18-02-1961,Splicer,MA,Female,37635,Hispanic,Married
Charlee,Roth,Temporary,05-05-1944,Splicer,MA,Male,13186,Black,Married
Karissa,Bowers,Full-Time,17-03-1984,Technician,MA,Male,76278,Asian,Married
Noel,Ramirez,Temporary,12-10-1994,Specialist,MA,Male,77580,Hispanic,Married
Victoria,Franco,Full-Time,09-09-1997,Laborer,MA,Male,15586,White,Married
Danika,Fleming,Temporary,16-10-1995,Laborer,MA,Female,75607,Hispanic,Divorced
Jocelyn,Kline,Full-Time,25-04-1958,Engineer,MA,Female,47289,Asian,Divorced
Cesar,Higgins,Part-Time,04-02-1996,Engineer,MA,Female,85711,Asian,Married
Gabriel,Dodson,Part-Time,14-12-1975,Engineer,MA,Female,54392,Asian,Single
Raphael,Sandoval,Temporary,28-10-1993,Foreman,MA,Female,61825,Asian,Single
Ruth,Harrell,Full-Time,23-02-1967,Supervisor,MA,Female,52646,Black,Married
Peyton,Barber,Part-Time,27-01-1946,Technician,MA,Female,56126,Hispanic,Married
Reginald,Lowery,Full-Time,26-11-1983,Laborer,MA,Male,70056,Black,Divorced
Stephanie,Briggs,Full-Time,07-05-1965,Laborer,MA,Male,81819,Other,Widowed
Shaniya,Becker,Full-Time,28-04-1947,Apprentice,MA,Male,12978,Other,Divorced
Ryan,Oconnell,Full-Time,03-10-1945,Foreman,MA,Male,37983,Asian,Married
Emma,Ware,Temporary,24-03-1987,Laborer,MA,Female,56687,Hispanic,Single
Keyon,Haley,Full-Time,26-04-1962,Supervisor,MA,Female,40148,Other,Married
Kylee,Bates,Part-Time,12-03-1978,Runner,MA,Female,71593,Hispanic,Single
Marc,Chandler,Temporary,13-03-1982,Supervisor,MA,Male,10775,Asian,Divorced
Abdullah,Pruitt,Full-Time,17-04-1995,Engineer,MA,Male,59441,Asian,Divorced
Shamar,Roth,Part-Time,10-12-1978,Inspector,MA,Male,55470,Hispanic,Single
Jaylen,Acosta,Full-Time,08-01-1966,Runner,MA,Female,8655,Hispanic,Divorced
Kale,House,Temporary,21-09-2000,Foreman,MA,Female,48077,Asian,Divorced
Kiersten,Ellis,Full-Time,15-01-1971,Operator,MA,Male,56039,Other,Widowed
Karissa,Carrillo,Full-Time,31-05-1978,Laborer,MA,Male,7474,Black,Single
Issac,Whitehead,Full-Time,22-03-1961,Laborer,MA,Male,9287,Asian,Single
Madisyn,Andrews,Full-Time,24-06-1986,Laborer,MA,Male,42213,Black,Married
Madyson,Rhodes,Full-Time,16-09-1977,Technician,MA,Male,34428,Asian,Single
Brenton,Rodriguez,Full-Time,01-01-1968,Splicer,MA,Female,77551,Hispanic,Widowed
Nathen,Arias,Part-Time,24-07-1966,Engineer,MA,Female,20847,Black,Single
Keyon,Hensley,Full-Time,27-06-1948,Lineman,MA,Female,76615,Other,Divorced
Elisha,Ruiz,Part-Time,06-06-1968,Technician,MA,Female,26602,White,Married
Amirah,Stanley,Part-Time,25-12-1991,Laborer,MA,Female,72818,White,Divorced
Jeremy,Meyer,Full-Time,19-01-1991,Lineman,MA,Female,90347,White,Single
Owen,Dillon,Part-Time,16-08-1946,Supervisor,MA,Male,96845,Other,Married
Bridget,Bray,Part-Time,29-06-1995,Foreman,MA,Male,67277,Asian,Widowed
Cassius,Gates,Part-Time,30-03-1995,Lineman,MA,Male,17975,Asian,Divorced
Martha,Kemp,Full-Time,20-10-1998,Engineer,MA,Male,97142,Asian,Married
Francesca,Mcmahon,Part-Time,14-04-2001,Laborer,MA,Male,72523,Hispanic,Divorced
Lorelei,Walls,Full-Time,04-03-1992,Flagger,MA,Female,44406,Black,Single
Emery,Gillespie,Temporary,25-11-1966,Technician,MA,Female,95682,Black,Divorced
Kaylee,Baldwin,Part-Time,30-10-1989,Engineer,MA,Male,86746,Other,Divorced
Aron,Hester,Full-Time,21-06-1974,Supervisor,MA,Male,73540,Hispanic,Single
Reagan,Brennan,Temporary,22-05-1952,Vp,MA,Male,21624,Asian,Married
Hugh,Berry,Temporary,18-04-1973,Laborer,MA,Male,90473,Other,Married
Brandon,Anderson,Full-Time,23-11-1977,Foreman,MA,Female,13534,Black,Single
Diana,Garza,Part-Time,15-08-1956,Locator,MA,Female,2667,Other,Widowed
Dalton,Bowen,Temporary,30-03-1985,Field Technician,MA,Male,54319,Asian,Married
Davin,Peters,Full-Time,19-05-1956,Laborer,MA,Male,16052,Hispanic,Single
Leyla,Warren,Temporary,23-08-1998,Technician,MA,Male,18998,Black,Single
Victoria,Allen,Full-Time,24-05-1996,Operator,MA,Male,33735,Asian,Widowed
Tyler,Hines,Temporary,16-01-1967,Clerk,MA,Male,81928,Black,Widowed
Sandra,Atkinson,Full-Time,17-01-1969,Engineer,MA,Female,14006,Hispanic,Widowed
Simone,Hayes,Temporary,29-12-1989,Splicer,MA,Female,45376,Asian,Divorced
Rhett,Valenzuela,Full-Time,24-02-1991,Foreman,MA,Female,44501,Asian,Divorced
Lane,Zuniga,Temporary,19-02-1973,Manager,MA,Female,47767,Other,Widowed
Isabelle,Shields,Part-Time,01-05-1996,Engineer,MA,Female,39141,Other,Single
Mario,Mays,Full-Time,28-08-1952,Technician,MA,Female,70090,Hispanic,Divorced
Leah,Robinson,Part-Time,29-11-1993,Associate,MA,Male,35858,Black,Divorced
Dayami,Bailey,Full-Time,04-02-1960,Supervisor,MA,Male,27462,Hispanic,Single
Ramon,Fleming,Full-Time,24-05-1999,Drafter,MA,Male,65321,Asian,Single
Pedro,Harrison,Full-Time,16-07-1989,Engineer,MA,Male,54017,Asian,Divorced
Harrison,Hudson,Full-Time,14-09-1985,Operator,MA,Female,51584,Other,Divorced
Taniya,Lane,Temporary,17-03-1976,Project Manager,MA,Female,75321,Black,Widowed
Rene,Wallace,Temporary,28-04-1943,Technician,MA,Female,37646,Black,Single
Kai,Gaines,Temporary,06-01-1956,Administration,MA,Male,33204,Other,Divorced
Noelle,Levy,Part-Time,03-08-1954,Technician,MA,Male,76198,Hispanic,Widowed
Kylie,Jimenez,Full-Time,22-06-1986,Coordinator,MA,Male,10600,Asian,Widowed
Carly,Figueroa,Full-Time,20-04-1998,Director,MA,Male,67909,White,Single
Bria,Mcpherson,Temporary,20-08-1944,Supervisor,MA,Female,26340,White,Divorced
Brynn,Harding,Full-Time,19-09-1951,Manager,MA,Female,42113,Asian,Divorced
Rashad,Wells,Temporary,29-12-1960,Laborer,MA,Male,95832,Asian,Married
Jaylene,Deleon,Temporary,14-11-1950,Laborer,MA,Male,60287,White,Single
Chace,Church,Full-Time,03-01-1993,Manager,MA,Male,34316,Asian,Single
Zayne,Hunter,Part-Time,15-12-1979,Lineman,MA,Male,75371,Black,Widowed
Amya,Vega,Temporary,01-08-1977,Field Project Manager,MA,Female,13727,White,Married
Nickolas,West,Part-Time,11-03-1961,Specialist,MA,Female,94278,Hispanic,Married
Cason,Neal,Temporary,28-11-1989,Laborer,MA,Female,70817,Hispanic,Divorced
Aldo,Dyer,Part-Time,07-10-1989,Foreman,MA,Female,74423,Hispanic,Widowed
Sonia,Skinner,Part-Time,26-12-1992,Technician,MA,Female,51256,Other,Single
Julien,Banks,Full-Time,12-06-1984,Foreman,MA,Female,16462,Hispanic,Married
Madelyn,Mcdonald,Temporary,31-01-1977,Engineer,MA,Male,48065,Asian,Divorced
Brenden,Nash,Temporary,12-04-1988,Supervisor,MA,Male,93840,Hispanic,Divorced
Genesis,Coleman,Temporary,20-06-1948,Mechanic,MA,Male,35917,Other,Single
Justice,Branch,Part-Time,22-04-1976,Foreman,MA,Male,22165,Asian,Single
Addisyn,Guerrero,Part-Time,15-02-1951,Engineer,MA,Female,87563,White,Widowed
Addisyn,Aguilar,Part-Time,05-02-1976,Associate,MA,Female,20993,Asian,Married
Marcos,Gallagher,Part-Time,27-05-1967,Vp,MA,Female,88723,White,Single
Mareli,Parker,Part-Time,08-11-1974,Laborer,MA,Male,59933,White,Divorced
Joshua,Mitchell,Temporary,01-12-1995,Manager,MA,Male,81280,Asian,Divorced
Case,Gaines,Part-Time,19-02-1974,Engineer,MA,Male,13899,Black,Married
Jacey,Reyes,Part-Time,18-09-1969,Splicer,MA,Male,44907,Black,Divorced
Dean,Middleton,Part-Time,16-10-1960,Foreman,MA,Female,64630,Hispanic,Single
Marlene,Bates,Temporary,03-01-1981,Administrative,MA,Female,36588,Black,Single
Kyra,Ray,Temporary,03-04-1956,Technician,MA,Male,33658,Asian,Married
Melanie,Kennedy,Temporary,10-04-1985,Administrator,MA,Male,87025,Hispanic,Widowed
Aleena,Mercer,Part-Time,19-04-1965,Laborer,MA,Male,93985,White,Married
Jake,White,Full-Time,05-03-1976,Coordinator,MA,Male,27233,Black,Widowed
Chaim,Chase,Full-Time,27-06-1993,Laborer,MA,Female,5569,Black,Married
Keshawn,Le,Full-Time,07-11-1992,Specialist,MA,Female,21090,Asian,Married
Dalton,Frazier,Temporary,15-09-1946,Driver,MA,Female,52357,Other,Married
Cannon,Hester,Full-Time,08-07-1947,Laborer,MA,Female,47989,Hispanic,Divorced
Crystal,Brandt,Full-Time,18-12-1958,Laborer,MA,Female,31486,White,Single
Johnny,Goodman,Full-Time,24-03-1960,Engineer,MA,Male,24794,Black,Widowed
Nehemiah,Hancock,Full-Time,31-08-1947,Laborer,MA,Male,80316,White,Married
Elliana,Villanueva,Temporary,30-08-1972,Laborer,MA,Male,46742,Asian,Married
Essence,Schwartz,Temporary,25-11-1969,Laborer,MA,Male,30194,Asian,Divorced
Ryker,Cox,Part-Time,21-08-1955,Lineman,MA,Male,36808,Asian,Widowed
Averi,Stevenson,Full-Time,25-07-1995,Lineman,MA,Female,36688,Other,Married
Katherine,Russo,Temporary,15-01-1945,Supervisor,MA,Female,37883,Other,Divorced
Aydan,Robbins,Part-Time,07-02-1967,Laborer,MA,Male,39843,Hispanic,Divorced
Heaven,Walls,Part-Time,01-01-1943,Supervisor,MA,Male,69873,Other,Divorced
Bobby,Chung,Temporary,08-12-1965,Engineer,MA,Male,2548,Black,Widowed
Maximus,Fields,Part-Time,04-07-1998,Engineer,MA,Male,73555,Hispanic,Single
Orion,Ochoa,Part-Time,03-07-1954,Technician,MA,Male,27650,Black,Widowed
Halle,Boyd,Part-Time,15-10-1994,Driver,MA,Female,2035,Hispanic,Single
Lindsey,Rocha,Temporary,21-07-1964,Engineer,MA,Male,74284,White,Divorced
Chace,Gray,Temporary,11-07-1963,Project Manager,MA,Male,81455,White,Married
Carsen,Wheeler,Part-Time,02-07-1976,Laborer,MA,Male,95345,Other,Married
Arielle,Escobar,Part-Time,11-12-1946,Director,MA,Male,67176,Hispanic,Divorced
Kaitlynn,Blair,Temporary,03-09-2000,Lineman,MA,Female,21015,Hispanic,Widowed
Amir,Melendez,Temporary,09-03-1951,Tower Hand,MA,Female,80870,Asian,Divorced
Monique,Buckley,Part-Time,24-05-2001,Intern,MA,Female,12265,Other,Single
Clark,Blanchard,Temporary,14-09-1948,Engineer,MA,Female,47025,Hispanic,Widowed
